Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%
3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$940,203,765","$370,270,765",39.4%,"$569,933,000",60.6%
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%
7,The Batman,"$772,245,583","$369,345,583",47.8%,"$402,900,000",52.2%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Puss in Boots: The Last Wish,"$481,681,839","$186,090,535",38.6%,"$295,591,304",61.4%
