Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%
2,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$453,211,036","$49,505,008",10.9%,"$403,706,028",89.1%
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
5,Tenet,"$365,304,105","$58,504,105",16%,"$306,800,000",84%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$251,410,631","$77,047,065",30.6%,"$174,363,566",69.4%
8,Jiang Ziya,"$240,646,355","$214,670",<0.1%,"$240,431,685",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%
